Code AIOT;dateFichier;typeFichier;nomFichier;Enregistré
'0003012008;2016-04-06;rapport;Nouveau document;True
'0003012008;2016-04-21;ap enregistrement;2016_E_70_IC.pdf;True
'0003012008;2024-11-28;ap prescriptions complémentaires;2024-APC-230-IC;True
'0003101036;2016-07-11;arrêté de mise en demeure;APMD GRENIER;True
'0003101036;2023-11-03;ap servitude d'utilité publique;GRENIER Alain_AP SUP du 3 nov 2023;True
'0003102997;2018-02-28;arrêté préfectoral;arrêté préfectoral;True
'0003900584;2019-05-23;ap d'autorisation;2019_05_23_AP.pdf;True
'0003900584;2022-02-03;ap autorisation temporaire;2022_02_03 AP prorogation validité AE.pdf;True
'0003900584;2026-03-02;ap prescriptions complémentaires;20260302_APC_parcCEHOU;True
'0003900895;2018-04-06;arrêté préfectoral;AP ENREGISTREMENT;True
'0003900895;2017-12-21;arrêté préfectoral;AP_mise_en_consultation_public;True
'0003900895;2017-12-01;arrêté préfectoral;Recepisse_decl;True
'0005201506;2006-12-28;autre;Arrêté préfectoral complémentaire;True
'0005201506;1998-05-18;arrêté préfectoral;AP d'autorisation;True
'0005201506;2007-01-03;arrêté préfectoral;AP complémentaire (art 18 déc. 77);True
'0005201506;2016-12-06;rapport;Rapport suite EDD -installation HCl;True
'0005201506;2006-02-01;arrêté préfectoral;Exploitation et Extension des installations;True
'0005201506;2018-12-07;arrêté préfectoral;Arrêté préfectoral DCPPAT n° 2018-641;True
'0005201506;2007-03-23;arrêté préfectoral;AP complémentaire (art 18 déc. 77);True
'0005201506;2010-02-12;arrêté préfectoral;AP complémentaire (Art. R. 512-31);True
'0005201506;2013-06-07;arrêté préfectoral;AP d'autorisation (extension);True
'0005201506;2016-11-17;arrêté de mise en demeure;Arrêté de mise en demeure 2016-n°702;True
'0005201506;2012-07-02;arrêté préfectoral;APC MMR (3ème);True
'0005201506;2011-08-23;arrêté préfectoral;AP complémentaire n° 397;True
'0005201506;2012-05-09;arrêté préfectoral;Arrêté préfectoral concernant DRT - Castets daté du 09-05-2012;True
'0005201506;2012-02-29;arrêté préfectoral;Autre concernant DRT - Castets daté du 29-02-2012;True
'0005201506;2010-05-11;arrêté préfectoral;AP d'autorisation n° 252;True
'0005201506;2017-01-10;arrêté préfectoral;Arrêté DAECL-2017-N° 9 fixant des prescriptions complémentaires;True
'0005201506;2018-12-20;rapport;Rapport POI Lubrizol;True
'0005201506;2021-03-29;rapport;Rapport mesures- pics de pollution;True
'0005201506;2011-06-01;arrêté préfectoral;AP complémentaire (Art. R. 512-31);True
'0005201506;2017-01-18;fiche seveso;fiche d'information seveso;True
'0005201506;2021-03-26;arrêté préfectoral;Arrêté complémentaire n° 2021-102;True
'0005201506;2024-12-12;ap mise en demeure;AP 2024-656;True
'0005201506;2025-11-12;ap mise en demeure;APMD 2025-595 DRT;True
'0005201622;2016-06-20;arrêté préfectoral;Arrêté de mesures de gdestion du site des 2 scieries;True
'0005201622;2016-04-14;rapport;Rapport au CODERST;True
'0005201622;2015-12-17;arrêté de mise en demeure;AP de mise en demeure;True
'0005201622;2005-11-07;arrêté préfectoral;AP d'autorisation;True
'0005203364;1973-06-12;arrêté préfectoral;AP d'autorisation (hors régularisation adm.);True
'0005203364;2008-03-21;rapport;Rapport proposant un AP complémentaire (art 18 déc. 77);True
'0005203364;2020-05-29;arrêté préfectoral;APC-BE 2020-04-05;True
'0005203364;1993-11-05;arrêté préfectoral;AP de modifications de prescriptions;True
'0005203364;2002-06-27;arrêté préfectoral;AP de renouvellement - extension;True
'0005203364;1995-10-09;arrêté préfectoral;AP d'autorisation (hors régularisation adm.);True
'0005203364;2008-05-21;arrêté préfectoral;AP complémentaire (art 18 déc. 77);True
'0005203364;1999-03-30;arrêté préfectoral;AP validant le calcul des garanties financières;True
'0005203364;2021-02-12;arrêté préfectoral;AP autorisation BE 2021 02 01;True
'0005203364;1995-10-09;arrêté préfectoral;AP de renouvellement - extension;True
'0005203364;1977-12-22;arrêté préfectoral;AP de renouvellement - extension;True
'0005203364;1980-09-11;arrêté préfectoral;AP de renouvellement - extension;True
